Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
0.1	0	-1.94736	0.971984	0.00109804	0.000177816	0.971578
0.105	0	-1.94764	0.974185	0.00118757	0.000114095	0.96822
0.11	0	-1.94527	0.975409	0.00158602	2.73146e-05	0.975203
0.115	0	-1.94394	0.972998	0.0008253	4.49787e-05	0.972616
0.12	0	-1.93864	0.969786	0.00119142	0.000128766	0.959643
0.125	0	-1.93801	0.966041	0.0010039	0.000236756	0.915459
0.13	0	-1.93441	0.961763	0.00127848	0.000123085	0.961269
0.135	0	-1.93156	0.964418	0.00189333	0.00011037	0.96288
0.14	0	-1.92578	0.954926	0.000957625	0.000346735	0.952801
0.145	0	-1.92943	0.961672	0.000719301	0.000168031	0.956978
0.15	0	-1.92391	0.959291	0.000911038	0.000187466	0.958341
0.155	0	-1.91779	0.94085	0.00147028	0.000852129	0.918717
0.16	0	-1.916	0.955944	0.0012672	0.000278745	0.952911
0.165	0	-1.91498	0.958587	0.00121255	7.79807e-05	0.956246
0.17	0	-1.91311	0.954224	0.00113889	0.000286421	0.949633
0.175	0	-1.91272	0.95951	0.00118698	7.52398e-05	0.95159
0.18	0	-1.90975	0.957043	0.00109176	0.000114962	0.954673
0.185	0	-1.90426	0.940857	0.00135703	0.000299142	0.896702
0.19	0	-1.90126	0.943816	0.00118922	0.000135994	0.943442
0.195	0	-1.90032	0.953793	0.00151312	0.000143274	0.946633
0.2	0	-1.89601	0.946241	0.00119606	0.000241388	0.913709
0.205	0	-1.89132	0.942639	0.00134634	0.000280965	0.690858
0.21	0	-1.89183	0.943424	0.00114282	0.000140002	0.867661
0.215	0	-1.88996	0.948771	0.00143073	0.000179468	0.941117
0.22	0	-1.88786	0.943474	0.000896643	9.69357e-05	0.927718
0.225	0	-1.88826	0.945764	0.000802704	0.00035266	0.638575
0.23	0	-1.88454	0.950252	0.00155592	0.000228463	0.947201
0.235	0	-1.87712	0.934365	0.00151318	0.00047839	0.916789
