Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
0.1	-0.2	-2.34754	0.979924	0.00110357	2.64275e-05	-0.979669
0.1	-0.15	-2.34682	0.977316	0.000903044	6.62574e-05	-0.976897
0.1	-0.1	-2.34678	0.976592	0.00109502	3.19055e-05	-0.973274
0.1	-0.05	-2.34509	0.976421	0.00160189	3.99893e-05	-0.975917
0.1	-1.38778e-17	-2.34498	0.971075	0.000680353	0.000152645	-0.966076
0.1	0.05	-2.36817	0.97722	0.00315379	6.72065e-05	-0.535495
0.1	0.1	-2.51139	0.979127	0.00127199	3.76049e-05	0.97903
0.1	0.15	-2.51266	0.979853	0.000578006	4.00559e-05	0.978586
0.1	0.2	-2.51447	0.980884	0.000771085	1.95566e-05	0.977631
0.1	0.2	-2.51181	0.980653	0.00124027	1.67136e-05	0.979886
0.1	0.15	-2.5119	0.979193	0.00126872	1.77697e-05	0.979021
0.1	0.1	-2.51165	0.979541	0.00108988	5.66381e-05	0.975434
0.1	0.05	-2.51164	0.975968	0.000880919	4.9541e-05	0.975603
0.1	1.38778e-17	-2.5098	0.976337	0.00113993	4.84149e-05	0.96307
0.1	-0.05	-2.60083	0.979095	0.000993012	2.01453e-05	-0.843732
0.1	-0.1	-2.613	0.977835	0.000809759	7.41731e-05	-0.977364
0.1	-0.15	-2.613	0.978889	0.000945389	1.17731e-05	-0.978835
0.1	-0.2	-2.6151	0.981694	0.00090832	1.55509e-05	-0.981652
0.3	-0.2	-2.24331	0.940587	0.00134069	0.000104062	-0.9401
0.3	-0.15	-2.23839	0.932958	0.00217987	0.000341117	-0.931986
0.3	-0.1	-2.2413	0.934892	0.00160981	0.000122089	-0.933136
0.3	-0.05	-2.23544	0.926608	0.00108742	0.000369433	-0.922749
0.3	-1.38778e-17	-2.22928	0.906752	0.000890964	0.000975651	-0.734903
0.3	0.05	-2.3163	0.927797	0.00168583	0.000336796	0.911261
0.3	0.1	-2.324	0.935448	0.00157527	0.000254418	0.934869
0.3	0.15	-2.32985	0.939434	0.00115003	0.000106506	0.938192
0.3	0.2	-2.32803	0.938573	0.00111241	0.000147491	0.934864
0.3	0.2	-2.32418	0.935777	0.00120809	0.00016109	0.932467
0.3	0.15	-2.32546	0.936351	0.00120513	0.000107805	0.934087
0.3	0.1	-2.32169	0.934261	0.00135038	0.000102002	0.930266
0.3	0.05	-2.31747	0.928388	0.00141416	0.000169176	0.923246
0.3	1.38778e-17	-2.31445	0.930311	0.00102015	0.000124376	0.895888
0.3	-0.05	-2.40503	0.91551	0.000916981	0.000356521	-0.914223
0.3	-0.1	-2.41725	0.934786	0.00121839	0.000142382	-0.931212
0.3	-0.15	-2.41907	0.937313	0.00107833	0.000152693	-0.935214
0.3	-0.2	-2.4162	0.936944	0.00205993	0.000166709	-0.933583
0.5	-0.2	-2.13966	0.897333	0.00122853	0.000365252	-0.896202
0.5	-0.15	-2.12509	0.894136	0.00134557	0.00019416	-0.889969
0.5	-0.1	-2.11604	0.876509	0.00117114	0.000392708	-0.874577
0.5	-0.05	-2.1217	0.879355	0.00179841	0.000509143	-0.871931
0.5	-1.38778e-17	-2.10532	0.867657	0.00195834	0.000480866	-0.727675
0.5	0.05	-2.18588	0.851104	0.00125234	0.000448193	0.832136
0.5	0.1	-2.19249	0.882757	0.00129009	0.000223285	0.871021
0.5	0.15	-2.2092	0.895369	0.0014795	0.000238096	0.888419
0.5	0.2	-2.21347	0.901805	0.00136943	0.000175344	0.899879
0.5	0.2	-2.20948	0.891956	0.00168218	0.000311923	0.888025
0.5	0.15	-2.20182	0.883251	0.00140007	0.000467287	0.882088
0.5	0.1	-2.20408	0.887934	0.00186271	0.000179442	0.885523
0.5	0.05	-2.19679	0.877623	0.00111769	0.000234373	0.869518
0.5	1.38778e-17	-2.18307	0.836595	0.00138657	0.00122265	0.822155
0.5	-0.05	-2.27632	0.88449	0.00140639	0.000324326	-0.875501
0.5	-0.1	-2.28876	0.889901	0.00183491	0.000490796	-0.883724
0.5	-0.15	-2.28366	0.883395	0.00128307	0.000227187	-0.877467
0.5	-0.2	-2.2961	0.894925	0.00204916	0.000218465	-0.893567
0.7	-0.2	-2.01501	0.851436	0.00147654	0.000301843	-0.842042
0.7	-0.15	-2.01234	0.856904	0.0013569	0.000215867	-0.841225
0.7	-0.1	-1.99477	0.822265	0.00171984	0.00113203	-0.819242
0.7	-0.05	-1.98685	0.820531	0.00152279	0.000719213	-0.816227
0.7	-1.38778e-17	-1.97061	0.803898	0.00149729	0.000550373	-0.782806
0.7	0.05	-2.06107	0.824343	0.00153507	0.000413823	0.796055
0.7	0.1	-2.07581	0.826382	0.000935988	0.000379845	0.819185
0.7	0.15	-2.08792	0.843015	0.00150304	0.000399451	0.841466
0.7	0.2	-2.08794	0.840538	0.00129798	0.000266752	0.833148
0.7	0.2	-2.09309	0.844178	0.00104329	0.000351671	0.840127
0.7	0.15	-2.09201	0.843534	0.00167494	0.000281229	0.825476
0.7	0.1	-2.0761	0.81424	0.0019301	0.000602017	0.80494
0.7	0.05	-2.0674	0.819889	0.00165263	0.00073513	0.81699
0.7	1.38778e-17	-2.05193	0.766424	0.00150684	0.000965067	0.549866
0.7	-0.05	-2.1325	0.815697	0.0011322	0.000368457	-0.772011
0.7	-0.1	-2.14215	0.836773	0.00153474	0.00030133	-0.825101
0.7	-0.15	-2.14039	0.822139	0.00159639	0.000634123	-0.816413
0.7	-0.2	-2.16695	0.849289	0.00175021	0.000269986	-0.846399
1.1	-0.2	-1.68009	0.703775	0.00295304	0.00166364	-0.694673
1.1	-0.15	-1.6871	0.709873	0.00168856	0.000707719	-0.698996
1.1	-0.1	-1.63873	0.677356	0.00198866	0.000911538	-0.641377
1.1	-0.05	-1.5685	0.56092	0.00264496	0.00978922	-0.475972
1.1	-1.38778e-17	-1.51771	0.41054	0.00266994	0.0129832	-0.305994
1.1	0.05	-1.6202	0.620342	0.00238619	0.00138675	0.548721
1.1	0.1	-1.67775	0.646151	0.00241464	0.00186882	0.632532
1.1	0.15	-1.70918	0.681147	0.00248723	0.000975234	0.67688
